epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.98264,2.41339,3.30364,1.89948,0.02222,0.64516,0.26708,0.1176,2.1615,3.03885,1.57841,0.00014,0.00014,0.08614
2,5.81439,1.91832,2.47877,1.50586,0.02333,0.67742,0.21061,0.06064,2.45936,3.31423,1.81185,0.000284258,0.000284258,0.0712843
3,8.52763,1.68497,2.03486,1.38714,0.02806,0.81452,0.47217,0.20841,2.0493,2.68478,1.53066,0.000422576,0.000422576,0.0564226
4,11.2166,1.65042,1.85129,1.35614,0.86568,0.27419,0.52253,0.16313,2.00144,2.60586,1.63573,0.000554954,0.000554954,0.041555
5,13.86,1.64449,1.72383,1.3318,0.78217,0.28226,0.47755,0.16829,2.10805,2.51202,1.61016,0.000681392,0.000681392,0.0266814
6,16.5258,1.60149,1.62481,1.2911,0.76927,0.32266,0.49981,0.20869,2.06652,2.38169,1.55068,0.00080189,0.00080189,0.0118019
7,19.2268,1.49601,1.53964,1.24893,0.67083,0.51613,0.58524,0.20317,2.04833,2.09148,1.53581,0.0008812,0.0008812,0.0008812
8,21.883,1.48359,1.49897,1.25241,0.60742,0.62097,0.60257,0.22274,2.08376,1.75712,1.54371,0.0008614,0.0008614,0.0008614
9,24.606,1.47776,1.4764,1.23233,0.67218,0.6129,0.63776,0.27834,1.94431,1.64347,1.47455,0.0008416,0.0008416,0.0008416
10,27.3168,1.50359,1.42741,1.23494,0.66097,0.59677,0.63261,0.29034,1.8647,1.63331,1.46675,0.0008218,0.0008218,0.0008218
11,30.066,1.51742,1.4249,1.22652,0.5652,0.60804,0.59657,0.23607,1.91412,1.75719,1.48582,0.000802,0.000802,0.000802
12,32.8241,1.48912,1.41798,1.24118,0.50838,0.62903,0.53179,0.22586,1.84017,1.76078,1.43247,0.0007822,0.0007822,0.0007822
13,35.5063,1.46855,1.34765,1.20808,0.65721,0.60301,0.58203,0.27877,1.75724,1.74108,1.39008,0.0007624,0.0007624,0.0007624
14,38.1691,1.43294,1.32919,1.21823,0.68474,0.61307,0.60687,0.29243,1.76442,1.81201,1.40134,0.0007426,0.0007426,0.0007426
15,40.9665,1.42928,1.30374,1.17928,0.66024,0.67742,0.64188,0.31189,1.72484,1.83305,1.39916,0.0007228,0.0007228,0.0007228
16,43.7959,1.47388,1.36285,1.20515,0.60268,0.69727,0.64089,0.30392,1.71873,1.79414,1.38832,0.000703,0.000703,0.000703
17,46.6367,1.38785,1.32806,1.17998,0.61885,0.66935,0.64793,0.32014,1.65197,1.68409,1.33996,0.0006832,0.0006832,0.0006832
18,49.6612,1.42046,1.30824,1.17646,0.66468,0.67742,0.661,0.32401,1.61959,1.59618,1.29738,0.0006634,0.0006634,0.0006634
19,52.6023,1.30877,1.2536,1.1554,0.63022,0.70161,0.67856,0.3361,1.64795,1.56446,1.3055,0.0006436,0.0006436,0.0006436
20,55.6833,1.4536,1.29005,1.17796,0.65849,0.67742,0.65252,0.34679,1.60676,1.5425,1.29761,0.0006238,0.0006238,0.0006238
21,58.7574,1.34945,1.3714,1.19097,0.66867,0.66729,0.64023,0.36548,1.50918,1.51908,1.26347,0.000604,0.000604,0.000604
22,61.8592,1.32159,1.23489,1.14111,0.67636,0.70968,0.65241,0.37951,1.48589,1.48788,1.26083,0.0005842,0.0005842,0.0005842
23,64.9427,1.35929,1.2997,1.18545,0.69271,0.67742,0.67278,0.3853,1.47426,1.4674,1.26766,0.0005644,0.0005644,0.0005644
24,67.9875,1.35251,1.26168,1.18005,0.68851,0.71303,0.69135,0.41747,1.45139,1.46028,1.25033,0.0005446,0.0005446,0.0005446
25,71.0105,1.34336,1.24168,1.16633,0.75128,0.70161,0.73072,0.42741,1.46604,1.4255,1.23522,0.0005248,0.0005248,0.0005248
26,74.1624,1.3224,1.24044,1.14249,0.72066,0.68548,0.71708,0.42785,1.44517,1.40177,1.22805,0.000505,0.000505,0.000505
27,77.3605,1.30015,1.23368,1.12304,0.67248,0.72581,0.70842,0.43328,1.38405,1.41071,1.21407,0.0004852,0.0004852,0.0004852
28,80.4768,1.32204,1.20414,1.14375,0.69493,0.75806,0.70456,0.41042,1.38119,1.46576,1.20299,0.0004654,0.0004654,0.0004654
29,83.5746,1.32238,1.18322,1.13662,0.69444,0.75147,0.72071,0.39597,1.43249,1.52828,1.21379,0.0004456,0.0004456,0.0004456
30,86.6547,1.31464,1.16182,1.1209,0.70628,0.73691,0.70748,0.40125,1.43314,1.52553,1.21738,0.0004258,0.0004258,0.0004258
31,89.8549,1.30464,1.2173,1.14375,0.6833,0.66119,0.67532,0.39599,1.43348,1.50522,1.23383,0.000406,0.000406,0.000406
32,92.9381,1.2666,1.13327,1.09144,0.67981,0.68548,0.67981,0.39539,1.48212,1.45798,1.25691,0.0003862,0.0003862,0.0003862
